Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-April-2023,84.44,84.44,83.02,83.96,83.802761341222879684,7605,90,637320.00,6439,84.67,1.42,-0.48
6-April-2023,81.01,83.50,81.01,83.00,82.707731032002876663,13905,122,1150051.00,12000,86.30,2.49,1.99
5-April-2023,81.30,83.40,81.30,82.95,82.502353576664866116,12959,129,1069148.00,10828,83.56,2.10,1.65
3-April-2023,82.40,83.65,80.01,82.95,82.785451873622336517,9527,130,788697.00,8364,87.79,3.64,0.55
31-March-2023,83.50,83.50,79.50,80.19,80.564235548352242031,9255,130,745622.00,7138,77.13,4.00,-3.31
29-March-2023,81.90,82.00,78.00,80.34,79.615242242787152966,18370,153,1462532.00,16996,92.52,4.00,-1.56
28-March-2023,80.15,83.40,72.60,80.21,80.150587729357798165,13952,179,1118261.00,12245,87.77,10.80,0.06
27-March-2023,84.99,84.99,80.00,80.69,81.241660433807030665,26740,181,2172402.00,19531,73.04,4.99,-4.30
24-March-2023,81.90,84.95,80.65,82.64,82.784943225215133153,39278,256,3251627.00,15945,40.60,4.30,0.74
23-March-2023,85.65,85.65,81.60,81.90,82.418784439509828110,12159,150,1002130.00,11212,92.21,4.05,-3.75
22-March-2023,86.70,86.70,82.50,83.21,83.935066149315132532,21391,182,1795455.00,19398,90.68,4.20,-3.49
21-March-2023,85.95,87.10,84.50,85.20,85.422102469235100136,12433,136,1062053.00,10627,85.47,2.60,-0.75
20-March-2023,86.50,87.10,83.25,86.56,85.142437660219063155,21455,135,1826731.00,13732,64.00,3.85,0.06
17-March-2023,84.50,87.10,84.50,86.61,86.319324335246100379,12373,136,1068029.00,9544,77.14,2.60,2.11
16-March-2023,86.89,86.89,84.90,84.95,85.327318991441128845,4323,87,368870.00,3834,88.69,1.99,-1.94
15-March-2023,85.61,87.00,85.25,86.06,85.868485742379547689,4068,72,349313.00,3438,84.51,1.75,0.45
14-March-2023,85.00,87.99,85.00,85.61,86.101080923166812737,6846,130,589448.00,5523,80.67,2.99,0.61
13-March-2023,90.00,92.00,85.20,86.10,87.760018403496664366,21735,270,1907464.00,16433,75.61,6.80,-3.90
10-March-2023,88.10,89.61,87.32,88.18,88.259464720194647201,10275,128,906866.00,6725,65.45,2.29,0.08
9-March-2023,89.75,93.00,89.30,89.87,90.984146456544304991,10597,144,964159.00,8288,78.21,3.70,0.12
8-March-2023,93.99,93.99,89.15,90.52,90.779313689826603613,16494,189,1497314.00,12172,73.80,4.84,-3.47
6-March-2023,90.00,93.00,87.10,91.41,90.476383033640196162,46492,419,4206428.00,36200,77.86,5.90,1.41
3-March-2023,87.50,91.00,84.51,87.43,87.371753296889959541,32379,258,2829010.00,26047,80.44,6.49,-0.07
2-March-2023,82.56,86.00,82.56,84.21,84.418353899604648376,8347,133,704640.00,5003,59.94,3.44,1.65
1-March-2023,83.00,85.90,82.00,84.18,84.618488421250411010,21289,185,1801443.00,13315,62.54,3.90,1.18
28-February-2023,85.35,86.00,82.50,83.25,83.645386692075591551,12594,134,1053430.00,10421,82.75,3.50,-2.10
27-February-2023,87.75,87.75,83.60,84.00,84.796885813148788927,5780,108,490126.00,5425,93.86,4.15,-3.75
24-February-2023,88.90,88.90,85.30,85.55,86.374814814814814814,10800,113,932848.00,8666,80.24,3.60,-3.35
23-February-2023,87.50,88.85,86.50,87.15,87.331972789115646258,7350,105,641890.00,4924,66.99,2.35,-0.35
22-February-2023,88.40,88.85,86.40,86.60,87.005895634721525338,7972,109,693611.00,7050,88.43,2.45,-1.80
21-February-2023,90.00,90.85,86.50,87.00,86.997391952309985096,10736,152,934004.00,9285,86.48,4.35,-3.00
20-February-2023,90.00,90.95,87.30,87.85,88.951779135382176001,21443,250,1907393.00,17841,83.20,3.65,-2.15
17-February-2023,92.00,93.00,90.30,91.70,92.510256571105953202,47823,171,4424118.00,44587,93.23,2.70,-0.30
16-February-2023,90.00,93.50,87.10,92.35,91.728879974958554088,86257,517,7912258.00,73200,84.86,6.40,2.35
15-February-2023,87.35,89.95,85.50,88.55,86.867819790828640386,24860,216,2159534.00,19129,76.95,4.45,1.20
14-February-2023,91.00,91.90,87.00,87.35,88.821680086528061531,41605,263,3695426.00,31773,76.37,4.90,-3.65
13-February-2023,86.00,92.50,83.55,89.60,89.030234715919799353,137954,782,12282077.00,112368,81.45,8.95,3.60
10-February-2023,81.70,83.00,79.30,81.10,80.786685918382855840,26318,179,2126144.00,19131,72.69,3.70,-0.60
9-February-2023,81.90,81.90,79.05,80.30,80.483855965984586765,15052,138,1211443.00,7578,50.35,2.85,-1.60
8-February-2023,81.85,82.25,79.75,80.25,80.591787439613526570,8694,154,700665.00,7367,84.74,2.50,-1.60
7-February-2023,81.00,82.50,79.60,81.40,81.027207444118539496,9887,149,801116.00,6533,66.08,2.90,0.40
6-February-2023,81.45,84.00,80.00,81.35,81.710743414268304115,21334,158,1743217.00,11169,52.35,4.00,-0.10
3-February-2023,85.00,85.00,78.00,81.60,82.327820058774772059,26542,155,2185145.00,15026,56.61,7.00,-3.40
2-February-2023,83.95,84.95,81.00,83.40,83.188992428654630168,17170,152,1428355.00,11759,68.49,3.95,-0.55
1-February-2023,88.30,88.30,81.00,81.45,82.939579923622476813,21996,186,1824339.00,18027,81.96,7.30,-6.85
